               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12822,             0.13308,            0.049175,             0.27172,             0.16244,            0.084662,            0.035988,             0.10622,             0.23224,            0.041622,            0.070074,           0.0033251,           0.0033251
                   1,             0.10924,             0.17165,            0.038042,             0.31078,             0.19872,             0.11058,            0.046483,             0.10351,             0.23677,             0.03942,            0.039415,           0.0059993,           0.0059993
                   2,              0.1068,             0.17014,            0.035759,             0.46903,             0.18707,             0.13902,            0.059158,             0.10135,             0.23665,             0.03713,           0.0080957,           0.0080134,           0.0080134
                   3,             0.10437,             0.17148,            0.033713,             0.50176,             0.19192,             0.16195,            0.074921,            0.098737,              0.2367,            0.035687,             0.00703,             0.00703,             0.00703
                   4,             0.10262,             0.16867,            0.032106,             0.52993,             0.20846,             0.18359,            0.089175,            0.097471,             0.23465,            0.034782,             0.00703,             0.00703,             0.00703
                   5,             0.10135,             0.16995,             0.03153,             0.45356,             0.21689,             0.19645,            0.095934,            0.096836,             0.23327,            0.034187,             0.00604,             0.00604,             0.00604
                   6,             0.10017,             0.16621,            0.030614,              0.4828,             0.22435,             0.21188,             0.10392,            0.095921,             0.23237,            0.033758,             0.00505,             0.00505,             0.00505
                   7,            0.099095,             0.16754,            0.030073,             0.38374,             0.23577,             0.21616,             0.10676,             0.09535,             0.23243,            0.033224,             0.00406,             0.00406,             0.00406
                   8,            0.098685,             0.16501,            0.029727,              0.4336,             0.25392,              0.2341,             0.11737,            0.094922,             0.23194,            0.032801,             0.00307,             0.00307,             0.00307
                   9,            0.098173,              0.1639,            0.029062,              0.4425,             0.25277,             0.23688,             0.11945,            0.094659,             0.22914,            0.032608,             0.00208,             0.00208,             0.00208
